Project,Title,Type,Description,Website,Year.updated,Overall.level,R.installation.and.basics,Data.wrangling,Advanced.coding,Graphics,Shiny.apps,SQL,Maps,Ordination,Linear.models,Generalised.linear.models,Generalised.additive.models,Mixed.models,Categorical.data.analysis,Power.analysis,Meta.analysis,Time.series,Spatial.modelling,Bayesian.approaches,Machine.learning,Notes,,,,
Environmental computing,Quantitative tutorials for the environmental sciences,Tutorial series,"Brief introduction to techniques for data organisation, graphics and statistical analyses",http://environmentalcomputing.net/,2018,Beginner,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,"Some things are out of date, like map-making",,,,
Data carpentry,Ecology Curriculum,Tutorial series,"Data Carpentry’s aim is to teach researchers basic concepts, skills, and tools for working with data so that they can get more done in less time, and with less pain",https://datacarpentry.org/R-ecology-lesson/index.html,2020,Beginner,Yes,Yes,,Yes,,Yes,,,,,,,,,,,,,,,,,,
Coding club,Data science for ecologists and environmental scientists,Tutorial series,"Collection of coding, data science and statistics tutorials with examples in R, Python, JavaScript and Python",https://ourcodingclub.github.io/tutorials.html,2020,Beginner to advanced,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,This is the one-stop-shop!,,,,
Seascape models,R resources,Tutorial series,Marine scentists who use quantitative tools to inform ocean conservation,http://www.seascapemodels.org/code.html,2020,Beginner to intermediate,Yes,Yes,,Yes,,,Yes,,Yes,Yes,Yes,,,,,,Yes,,,,,,,
Show us your R's,Tutorials and workshops on R and statistics,Tutorial series,This series of tutorials and workshops will gradually work through an extensive range of frequentist and Bayesian graphical and statistical theory and practice (focusing on R or JAGS interfaced from R),https://www.flutterbys.com.au/stats/course.html,2018,Beginner to advanced,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Includes tutorial on data simulation in R - bit unique relative to other courses. Map -making out of date,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Not free,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.rjgrayecology.com/online-courses.html#/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Not R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.coursera.org/courses?query=conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Not ecology/conservation focus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://rafalab.github.io/dsbook/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://geocompr.robinlovelace.net/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Out of scope?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.futurelearn.com/courses/global-standard-for-assessing-risks-to-ecosystems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
